Date,Campaing_Name,Ad-group,Trip_id,Keyword,Impressions,Clicks,CTR,Cost,Conversion Rate
2018-03-31,Przygoda i eksploracja,Pakiety Wakacyjne 2018,20,sport,52165,2576,"4,94","3833,15","22,62"
2024-04-21,Przygoda i eksploracja,Oferty Specjalne 2024,19,ekstremalne,13349,6124,"45,88","4911,46","13,40"
2017-10-13,Przygoda i eksploracja,Oferty Specjalne 2017,2,egzotyka,24644,20568,"83,46","4487,74","17,79"
2019-07-16,Rodzinne wakacje,First Minute 2019,2,dla dzieci,9020,3573,"39,61","2086,59","4,64"
2017-07-14,Luksusowe podróże,Oferty Specjalne 2017,5,luksusowe podróże,82280,80279,"97,57","4352,33","29,24"
2015-12-09,Wakacje dla par,Last Minute 2015,8,relaks i wellness,28360,11025,"38,88","4034,93","4,31"
2021-02-17,Wakacje z dziećmi,Oferty Specjalne 2021,16,dla dzieci,94456,52678,"55,77","94,54","15,34"
2023-05-17,Wakacje z dziećmi,Oferty Specjalne 2023,4,animacje dla dzieci,22011,2613,"11,87","4137,05","9,00"
2024-03-22,Wakacje dla par,First Minute 2024,16,relaks i wellness,21981,17501,"79,62","1355,86","20,50"
2015-02-12,Wakacje budżetowe,Nowe Destynacje 2015,18,oferty specjalne,93313,87284,"93,54","2739,58","29,05"
2021-01-26,Rodzinne wakacje,Pakiety Wakacyjne 2021,7,rodzinne wakacje,32721,15473,"47,29","1395,67","29,53"
2020-01-30,Wakacje dla par,Last Minute 2020,27,romantyczne,31316,9102,"29,07","4717,33","18,24"
2023-05-16,Rodzinne wakacje,Last Minute 2023,21,rodzinne wakacje,18784,960,"5,11","3087,41","18,87"
2017-09-19,Wakacje dla seniorów,All Inclusive 2017,25,spokojne wakacje,22690,6963,"30,69","4125,02","5,58"
2015-05-30,Wakacje budżetowe,All Inclusive 2015,6,oszczędne podróże,35342,23368,"66,12","2644,77","24,55"
2019-10-31,Wakacje dla par,All Inclusive 2019,2,luksusowe podróże,41601,33280,"80,00","3589,68","6,59"
2023-08-31,Rodzinne wakacje,Nowe Destynacje 2023,7,rodzinne wakacje,75822,46708,"61,60","4535,43","26,34"
2021-04-21,Rodzinne wakacje,First Minute 2021,8,rodzinne wakacje,31510,19592,"62,18","1777,07","5,97"
2024-06-17,Egzotyczne destynacje,Last Minute 2024,16,egzotyczne destynacje,83216,19739,"23,72","4817,86","17,40"
2017-06-24,Wakacje dla seniorów,Pakiety Wakacyjne 2017,10,relaks i wellness,69788,69492,"99,58","4338,75","8,75"
2024-09-07,Luksusowe podróże,Last Minute 2024,14,wysoki standard,13699,8626,"62,97","1192,09","5,31"
2023-05-14,Wakacje dla par,Pakiety Wakacyjne 2023,30,luksusowe podróże,18019,2508,"13,92","2935,83","27,96"
2017-08-20,Relaks i wellness,Nowe Destynacje 2017,20,spa,89474,66355,"74,16","3323,12","4,49"
2021-01-24,Luksusowe podróże,Nowe Destynacje 2021,29,wysoki standard,70234,66915,"95,27","2876,09","24,09"
2020-09-11,Relaks i wellness,All Inclusive 2020,18,joga,18622,6914,"37,13","400,54","15,58"
2021-09-02,Przygoda i eksploracja,All Inclusive 2021,24,przygoda,66445,1275,"1,92","2144,82","22,94"
2019-12-14,Luksusowe podróże,Pakiety Wakacyjne 2019,6,wysoki standard,77651,66000,"85,00","3439,01","13,11"
2021-03-30,Wakacje z dziećmi,Last Minute 2021,2,animacje dla dzieci,56354,9906,"17,58","934,02","2,17"
2021-12-28,Przygoda i eksploracja,All Inclusive 2021,2,ekstremalne,77724,3794,"4,88","2661,11","4,48"
2020-09-28,Egzotyczne destynacje,Nowe Destynacje 2020,25,plaże,41686,35356,"84,82","2741,23","13,82"
2020-06-20,Rodzinne wakacje,Last Minute 2020,24,dla dzieci,59902,16823,"28,08","3837,17","18,04"
2022-01-08,Egzotyczne destynacje,Last Minute 2022,7,dzika przyroda,83582,57655,"68,98","3315,65","15,18"
2017-03-13,Luksusowe podróże,Oferty Specjalne 2017,4,5-gwiazdek,28821,6497,"22,54","924,25","27,43"
2023-08-23,Wakacje z dziećmi,Last Minute 2023,1,dla dzieci,84967,58891,"69,31","4082,75","28,01"
2015-07-30,Wakacje dla par,Oferty Specjalne 2015,30,romantyczne,22886,1006,"4,40","1482,10","19,08"
2018-10-13,Wakacje dla seniorów,Last Minute 2018,22,relaks i wellness,99476,96856,"97,37","900,14","7,02"
2023-09-06,Przygoda i eksploracja,Nowe Destynacje 2023,7,egzotyka,93045,60656,"65,19","3022,36","0,20"
2021-11-09,Relaks i wellness,First Minute 2021,28,relaks i wellness,4310,196,"4,55","1208,56","11,56"
2020-12-23,Luksusowe podróże,All Inclusive 2020,6,wysoki standard,90534,31336,"34,61","4123,26","19,45"
2015-11-19,Relaks i wellness,Pakiety Wakacyjne 2015,24,spa,11630,2763,"23,76","4310,79","12,16"
2017-01-10,Wakacje dla seniorów,Oferty Specjalne 2017,28,relaks i wellness,24151,8474,"35,09","347,50","24,51"
2019-09-20,Wakacje dla seniorów,Oferty Specjalne 2019,11,dla seniorów,62316,43510,"69,82","2119,27","10,81"
2021-09-04,Wakacje dla par,First Minute 2021,16,relaks i wellness,98739,61629,"62,42","2320,83","10,43"
2017-05-30,Wakacje dla par,Pakiety Wakacyjne 2017,30,relaks i wellness,14046,12310,"87,64","4187,67","6,34"
2020-04-16,Przygoda i eksploracja,First Minute 2020,12,sport,61611,54442,"88,36","2178,03","17,88"
2024-04-30,Wakacje dla par,Pakiety Wakacyjne 2024,26,luksusowe podróże,92933,28649,"30,83","116,49","0,58"
2022-12-13,Luksusowe podróże,All Inclusive 2022,29,5-gwiazdek,12881,7767,"60,30","2764,51","14,30"
2019-07-21,Wakacje dla seniorów,First Minute 2019,3,relaks i wellness,37288,20967,"56,23","2944,41","16,57"
2021-12-27,Przygoda i eksploracja,Oferty Specjalne 2021,16,egzotyka,12793,10188,"79,64","4766,19","4,74"
2015-08-22,Wakacje budżetowe,Nowe Destynacje 2015,13,budżetowe wakacje,33538,8011,"23,89","1272,92","20,00"
2017-09-24,Wakacje dla seniorów,First Minute 2017,23,relaks i wellness,57836,32004,"55,34","3279,33","6,69"
2019-10-24,Wakacje dla seniorów,Last Minute 2019,20,dla seniorów,54599,12824,"23,49","2224,57","29,98"
2019-01-31,Relaks i wellness,Nowe Destynacje 2019,20,spa,50906,25104,"49,31","3118,30","19,42"
2017-06-06,Egzotyczne destynacje,Pakiety Wakacyjne 2017,14,egzotyczne destynacje,18796,1821,"9,69","773,36","9,73"
2017-06-27,Wakacje z dziećmi,First Minute 2017,7,animacje dla dzieci,56044,14431,"25,75","1593,58","27,98"
2020-12-02,Luksusowe podróże,Pakiety Wakacyjne 2020,20,wysoki standard,48991,18329,"37,41","1079,57","27,62"
2023-05-27,Rodzinne wakacje,First Minute 2023,26,rodzinne wakacje,18380,17315,"94,21","4510,77","3,69"
2016-08-29,Wakacje dla par,First Minute 2016,23,luksusowe podróże,53596,51511,"96,11","4016,34","27,90"
2024-11-05,Wakacje dla par,Last Minute 2024,3,luksusowe podróże,9778,5569,"56,95","165,67","2,63"
2022-10-03,Wakacje z dziećmi,Oferty Specjalne 2022,26,rodzinne wakacje,78745,32676,"41,50","3105,33","5,00"
2023-04-11,Wakacje z dziećmi,First Minute 2023,13,dla dzieci,22348,5414,"24,23","2770,28","22,92"
2018-02-01,Rodzinne wakacje,Last Minute 2018,9,dla dzieci,40870,35778,"87,54","2958,55","29,05"
2020-04-18,Luksusowe podróże,Pakiety Wakacyjne 2020,13,wysoki standard,72065,54751,"75,97","2812,73","12,11"
2016-12-05,Luksusowe podróże,Oferty Specjalne 2016,20,wysoki standard,51415,46898,"91,21","1213,24","25,81"
2023-12-17,Relaks i wellness,First Minute 2023,12,joga,71155,16127,"22,66","2909,18","18,28"
2024-12-03,Rodzinne wakacje,First Minute 2024,1,rodzinne wakacje,75627,41932,"55,45","524,41","11,36"
2024-09-22,Rodzinne wakacje,Nowe Destynacje 2024,28,dla dzieci,61818,38661,"62,54","2888,30","8,96"
2015-05-13,Wakacje budżetowe,Nowe Destynacje 2015,3,budżetowe wakacje,90301,43829,"48,54","3603,05","22,68"
2023-09-25,Wakacje budżetowe,Nowe Destynacje 2023,10,budżetowe wakacje,95391,810,"0,85","4598,43","6,20"
2024-04-02,Wakacje budżetowe,All Inclusive 2024,17,oszczędne podróże,34455,27558,"79,98","2481,16","19,88"
2021-10-15,Wakacje z dziećmi,All Inclusive 2021,23,rodzinne wakacje,74174,27054,"36,47","3899,87","1,48"
2015-04-09,Rodzinne wakacje,Nowe Destynacje 2015,3,dla dzieci,56776,50783,"89,44","1044,22","5,25"
2021-05-28,Luksusowe podróże,Nowe Destynacje 2021,14,luksusowe podróże,45035,35235,"78,24","1056,83","19,36"
2018-01-20,Przygoda i eksploracja,Nowe Destynacje 2018,8,przygoda,75192,52675,"70,05","1481,76","12,77"
2021-06-09,Wakacje z dziećmi,All Inclusive 2021,18,dla dzieci,35045,1102,"3,14","1397,85","19,06"
2021-07-08,Relaks i wellness,First Minute 2021,15,relaks i wellness,91652,69558,"75,89","3999,82","20,08"
2021-11-14,Wakacje z dziećmi,First Minute 2021,21,dla dzieci,35351,6271,"17,74","2750,76","5,95"
2016-06-22,Rodzinne wakacje,First Minute 2016,12,rodzinne wakacje,2681,2494,"93,02","2457,60","16,40"
2015-05-07,Rodzinne wakacje,All Inclusive 2015,25,dla dzieci,3106,295,"9,50","4422,48","7,44"
2019-02-03,Wakacje budżetowe,Last Minute 2019,2,budżetowe wakacje,69757,68721,"98,51","4289,80","22,03"
2019-09-02,Przygoda i eksploracja,First Minute 2019,21,ekstremalne,48687,10604,"21,78","4239,36","19,94"
2017-01-25,Wakacje z dziećmi,First Minute 2017,21,dla dzieci,63584,49528,"77,89","4875,99","0,80"
2019-01-04,Relaks i wellness,Oferty Specjalne 2019,13,joga,82261,45797,"55,67","856,19","5,38"
2024-07-24,Egzotyczne destynacje,First Minute 2024,22,egzotyczne destynacje,32458,14213,"43,79","4818,17","23,02"
2021-05-03,Egzotyczne destynacje,All Inclusive 2021,26,nieodkryte miejsca,52800,45578,"86,32","3799,17","11,39"
2021-02-27,Wakacje dla par,Oferty Specjalne 2021,27,luksusowe podróże,2067,478,"23,13","4369,09","4,83"
2015-04-20,Przygoda i eksploracja,Nowe Destynacje 2015,10,sport,8753,5419,"61,91","3572,88","5,16"
2021-10-30,Relaks i wellness,Oferty Specjalne 2021,4,relaks i wellness,75117,34225,"45,56","1375,49","8,88"
2018-09-25,Egzotyczne destynacje,Oferty Specjalne 2018,12,przygoda,5487,4052,"73,85","1502,62","22,03"
2022-11-02,Wakacje budżetowe,Nowe Destynacje 2022,10,oferty specjalne,86258,68805,"79,77","760,12","8,20"
2016-08-29,Wakacje dla seniorów,Last Minute 2016,3,dla seniorów,78347,2956,"3,77","1733,91","19,70"
2015-11-21,Wakacje z dziećmi,Nowe Destynacje 2015,7,rodzinne wakacje,10171,9429,"92,70","3234,47","28,35"
2023-08-15,Wakacje dla par,Pakiety Wakacyjne 2023,4,dla par,7222,3907,"54,10","2042,77","2,34"
2022-05-13,Egzotyczne destynacje,Nowe Destynacje 2022,4,przygoda,7155,1373,"19,19","4712,91","23,03"
2015-05-15,Wakacje dla seniorów,Nowe Destynacje 2015,8,dla seniorów,91105,72263,"79,32","582,71","5,24"
2022-06-26,Egzotyczne destynacje,Pakiety Wakacyjne 2022,18,dzika przyroda,10573,10199,"96,46","968,82","19,62"
2020-02-23,Wakacje budżetowe,All Inclusive 2020,29,oferty specjalne,7557,894,"11,83","754,56","4,21"
2015-06-14,Relaks i wellness,Nowe Destynacje 2015,26,zdrowie,90185,39388,"43,67","4738,97","28,52"
2019-12-08,Wakacje z dziećmi,All Inclusive 2019,30,dla dzieci,4735,3205,"67,69","4151,99","5,55"
2019-12-08,Wakacje budżetowe,Pakiety Wakacyjne 2019,15,oferty specjalne,67468,12088,"17,92","2574,72","15,50"
2020-08-06,Rodzinne wakacje,Oferty Specjalne 2020,21,rodzinne wakacje,30170,1451,"4,81","3082,34","1,55"
2017-11-07,Wakacje dla par,First Minute 2017,19,romantyczne,5514,1102,"19,99","1073,39","1,88"
2024-02-10,Przygoda i eksploracja,Oferty Specjalne 2024,10,przygoda,78771,65178,"82,74","4061,88","27,62"
2019-10-12,Relaks i wellness,Pakiety Wakacyjne 2019,20,relaks i wellness,61230,16648,"27,19","4615,82","19,56"
2022-09-13,Luksusowe podróże,Pakiety Wakacyjne 2022,4,relaks,64767,57932,"89,45","2928,53","3,00"
2020-10-06,Wakacje budżetowe,Pakiety Wakacyjne 2020,22,oferty specjalne,2680,2236,"83,43","1586,66","29,02"
2018-05-13,Wakacje z dziećmi,All Inclusive 2018,20,animacje dla dzieci,59031,17243,"29,21","2538,09","1,44"
2020-12-24,Luksusowe podróże,Oferty Specjalne 2020,29,relaks,34253,21691,"63,33","4601,74","29,83"
2023-09-10,Wakacje z dziećmi,Nowe Destynacje 2023,24,rodzinne wakacje,6070,6022,"99,21","1758,48","19,05"
2019-02-11,Wakacje dla seniorów,Nowe Destynacje 2019,29,relaks i wellness,45828,12902,"28,15","2985,56","8,11"
2023-04-11,Przygoda i eksploracja,Oferty Specjalne 2023,23,egzotyka,87902,31518,"35,86","4521,98","5,23"
2019-07-28,Wakacje dla seniorów,Pakiety Wakacyjne 2019,18,dla seniorów,93347,7295,"7,81","697,15","3,12"
2015-01-15,Rodzinne wakacje,Oferty Specjalne 2015,24,rodzinne wakacje,1387,152,"10,96","4504,25","3,71"
2020-04-08,Luksusowe podróże,Pakiety Wakacyjne 2020,26,luksusowe podróże,25044,7143,"28,52","1847,87","9,04"
2019-09-08,Wakacje z dziećmi,First Minute 2019,12,dla dzieci,91514,69234,"75,65","4161,92","21,44"
2017-12-27,Wakacje budżetowe,Nowe Destynacje 2017,16,budżetowe wakacje,66660,56043,"84,07","1341,75","13,58"
2023-05-07,Relaks i wellness,Oferty Specjalne 2023,11,relaks i wellness,99688,40827,"40,95","2173,53","7,29"
2023-08-14,Wakacje z dziećmi,Oferty Specjalne 2023,18,animacje dla dzieci,99838,8622,"8,64","3529,12","4,42"
2016-12-12,Wakacje budżetowe,Last Minute 2016,24,budżetowe wakacje,92844,82334,"88,68","1368,71","5,17"
2022-06-08,Wakacje dla seniorów,First Minute 2022,17,relaks i wellness,95732,88474,"92,42","583,46","21,69"
2015-12-30,Egzotyczne destynacje,Pakiety Wakacyjne 2015,26,dzika przyroda,32977,24973,"75,73","2117,04","1,36"
2016-05-01,Relaks i wellness,Nowe Destynacje 2016,29,joga,46633,25972,"55,69","401,38","1,64"
2022-01-05,Relaks i wellness,Oferty Specjalne 2022,19,relaks i wellness,85286,72323,"84,80","208,17","23,84"
2015-06-01,Wakacje z dziećmi,Oferty Specjalne 2015,4,animacje dla dzieci,55284,14348,"25,95","4243,05","0,28"
2015-05-27,Luksusowe podróże,Pakiety Wakacyjne 2015,24,luksusowe podróże,26040,5542,"21,28","1421,96","11,11"
2019-09-09,Egzotyczne destynacje,First Minute 2019,25,eksploracja,46499,38580,"82,97","3873,88","24,52"
2023-04-27,Wakacje budżetowe,Oferty Specjalne 2023,11,oferty specjalne,51015,19841,"38,89","4472,49","6,44"
2022-02-26,Luksusowe podróże,Pakiety Wakacyjne 2022,7,wysoki standard,24562,4859,"19,78","3199,70","12,10"
2021-04-02,Wakacje budżetowe,Oferty Specjalne 2021,28,oferty specjalne,59366,20129,"33,91","1826,25","23,28"
2019-01-21,Wakacje z dziećmi,Pakiety Wakacyjne 2019,26,animacje dla dzieci,15204,10325,"67,91","229,70","12,73"
2022-02-19,Wakacje dla par,Last Minute 2022,12,dla par,86067,2788,"3,24","2320,20","12,97"
2016-07-09,Rodzinne wakacje,First Minute 2016,7,rodzinne wakacje,13725,10364,"75,51","2584,85","2,59"
2021-02-12,Wakacje budżetowe,First Minute 2021,28,budżetowe wakacje,45696,35157,"76,94","3435,64","29,29"
2022-03-26,Rodzinne wakacje,First Minute 2022,8,rodzinne wakacje,33938,17787,"52,41","1463,93","11,25"
2019-12-23,Przygoda i eksploracja,All Inclusive 2019,17,ekstremalne,73509,43408,"59,05","4856,35","6,27"
2017-08-09,Egzotyczne destynacje,Pakiety Wakacyjne 2017,19,dzika przyroda,52862,10431,"19,73","2241,68","12,76"
2019-05-22,Wakacje budżetowe,Last Minute 2019,3,oszczędne podróże,63887,34588,"54,14","3221,43","2,30"
2016-01-16,Przygoda i eksploracja,Nowe Destynacje 2016,26,przygoda,42869,11525,"26,88","3642,37","17,61"
2015-04-14,Przygoda i eksploracja,Oferty Specjalne 2015,14,aktywne wakacje,71693,35830,"49,98","2301,49","4,08"
2018-03-22,Relaks i wellness,First Minute 2018,11,zdrowie,81179,71698,"88,32","2097,45","11,08"
2022-09-15,Przygoda i eksploracja,Pakiety Wakacyjne 2022,22,ekstremalne,51983,13802,"26,55","3464,71","17,25"
2019-09-29,Wakacje budżetowe,Last Minute 2019,19,budżetowe wakacje,7746,6449,"83,26","1598,73","14,42"
2018-10-17,Luksusowe podróże,Last Minute 2018,3,relaks,19890,13588,"68,32","2868,31","10,93"
2018-03-20,Wakacje z dziećmi,Oferty Specjalne 2018,1,rodzinne wakacje,15590,4739,"30,40","1104,20","25,81"
2023-07-13,Wakacje dla par,Last Minute 2023,26,dla par,49707,4007,"8,06","4916,92","25,14"
2019-09-14,Egzotyczne destynacje,Last Minute 2019,18,eksploracja,49520,9259,"18,70","1929,39","1,33"
2018-10-21,Luksusowe podróże,Pakiety Wakacyjne 2018,30,relaks,93965,44467,"47,32","2069,24","5,84"
2022-07-13,Egzotyczne destynacje,First Minute 2022,6,plaże,6014,3267,"54,32","2271,47","15,68"
2017-11-09,Wakacje z dziećmi,Nowe Destynacje 2017,28,rodzinne wakacje,83154,60501,"72,76","3037,37","9,78"
2018-01-28,Przygoda i eksploracja,Nowe Destynacje 2018,23,egzotyka,80860,37099,"45,88","2408,89","16,93"
2015-05-02,Wakacje dla par,Nowe Destynacje 2015,5,romantyczne,63936,30814,"48,20","4479,83","17,71"
2015-03-08,Wakacje budżetowe,Pakiety Wakacyjne 2015,7,oszczędne podróże,33391,10024,"30,02","948,06","22,16"
2019-03-25,Egzotyczne destynacje,Nowe Destynacje 2019,8,przygoda,97624,87772,"89,91","658,54","3,41"
2017-10-17,Luksusowe podróże,Last Minute 2017,25,5-gwiazdek,34215,11759,"34,37","1089,28","12,95"
2021-12-07,Wakacje budżetowe,Nowe Destynacje 2021,27,budżetowe wakacje,79910,79799,"99,86","2681,46","7,46"
2019-01-02,Wakacje z dziećmi,Last Minute 2019,14,rodzinne wakacje,17948,13795,"76,86","3788,46","13,14"
2019-12-12,Wakacje budżetowe,Pakiety Wakacyjne 2019,2,budżetowe wakacje,35952,8871,"24,67","2443,81","27,42"
2015-07-08,Wakacje dla seniorów,Pakiety Wakacyjne 2015,28,spokojne wakacje,77869,37954,"48,74","4598,49","10,93"
2021-06-14,Przygoda i eksploracja,Pakiety Wakacyjne 2021,26,przygoda,83020,38665,"46,57","4972,95","19,60"
2017-04-05,Luksusowe podróże,Nowe Destynacje 2017,26,5-gwiazdek,34206,20795,"60,79","1729,80","17,13"
2015-08-01,Relaks i wellness,Pakiety Wakacyjne 2015,13,dla seniorów,79416,54911,"69,14","4809,37","29,03"
2023-05-11,Wakacje budżetowe,Pakiety Wakacyjne 2023,20,oferty specjalne,56720,16519,"29,12","4758,05","18,95"
2015-07-26,Wakacje budżetowe,All Inclusive 2015,30,oszczędne podróże,14493,877,"6,05","2082,88","17,26"
2017-08-08,Rodzinne wakacje,First Minute 2017,21,rodzinne wakacje,96371,2950,"3,06","1411,22","0,72"
2024-01-31,Wakacje dla par,All Inclusive 2024,7,relaks i wellness,91738,5208,"5,68","2111,98","0,24"
2024-05-30,Wakacje dla seniorów,Last Minute 2024,21,relaks i wellness,42853,31867,"74,36","4496,94","11,36"
2016-05-16,Wakacje budżetowe,All Inclusive 2016,13,oferty specjalne,59448,24473,"41,17","3403,35","2,15"
2015-07-07,Wakacje z dziećmi,Oferty Specjalne 2015,14,dla dzieci,53395,10516,"19,69","4041,22","29,49"
2019-07-20,Wakacje dla seniorów,Pakiety Wakacyjne 2019,11,relaks i wellness,41526,15638,"37,66","2341,35","25,26"
2019-09-25,Przygoda i eksploracja,Last Minute 2019,3,sport,49667,32150,"64,73","354,83","28,78"
2023-12-30,Wakacje budżetowe,First Minute 2023,4,budżetowe wakacje,73394,55709,"75,90","240,92","21,09"
2015-01-20,Wakacje dla seniorów,First Minute 2015,20,spokojne wakacje,30479,22741,"74,61","4470,99","23,51"
2023-02-14,Relaks i wellness,Oferty Specjalne 2023,9,dla seniorów,36666,36585,"99,78","2508,86","17,37"
2018-11-15,Wakacje budżetowe,First Minute 2018,23,oferty specjalne,92901,10698,"11,52","2285,72","29,21"
2016-05-17,Relaks i wellness,All Inclusive 2016,24,dla seniorów,95104,55149,"57,99","3633,00","7,31"
2022-03-27,Luksusowe podróże,Last Minute 2022,23,luksusowe podróże,90454,35397,"39,13","4473,26","2,18"
